#{"t_start": 1774912042.6845925, "env_id": "None"}
r,l,t
10.006544,12,527.671147
15.304428,21,527.671284
21.923782,30,527.67134
21.332092,30,527.671387
7.3263545,10,527.671434
21.897593,30,529.787543
8.802744,11,529.787641
5.7238235,7,529.787662
11.982672,17,531.642021
1.7649229,3,531.642111
16.050936,22,531.642132
7.8065844,10,531.642149
1.9583726,3,533.581754
4.359125,6,533.58186
2.3985653,4,533.581892
18.357664,26,533.581919
7.79878,10,533.581944
18.633936,25,533.582004
2.9573765,4,535.779093
17.283802,21,537.889368
3.9572015,5,537.889459
1.9602091,3,537.889481
7.4205446,11,537.889497
21.70285,29,537.889513
9.054662,12,537.889529
1.9602091,3,537.889545
8.955312,10,539.6747
9.760318,11,541.480365
4.760324,6,541.480448
1.1240078,2,541.480469
3.9590473,5,543.930703
1.9894304,3,543.930795
12.336058,15,543.930814
1.0543947,2,545.919958
3.9572015,5,545.920037
8.207283,10,545.920053
1.1240078,2,545.920065
7.957163,9,545.920079
6.084011,8,547.81809
7.559437,9,547.818449
6.76015,8,547.818495
19.933372,25,547.81851
20.559052,22,549.781255
8.083995,10,549.781347
23.18507,30,549.781369
12.962464,15,549.781386
16.66342,21,552.4085
14.656637,19,552.408573
26.177162,30,552.408589
5.9590135,7,552.408603
15.646548,19,554.484374
3.9571974,5,556.324033
9.959012,11,556.324121
13.678376,16,558.017832
5.0505886,6,558.017912
1.9602091,3,558.017932
1.9602091,3,558.017947
2.9592168,4,558.01796
4.2772,5,558.018006
3.9590473,5,560.639385
6.792282,8,560.639463
6.1186867,7,560.639478
11.959012,13,560.639489
2.9592168,4,560.6395
7.765956,9,562.736494
6.0742517,7,562.736562
12.959012,14,562.736576
10.959012,12,562.736587
8.794132,10,564.621775
1.9583726,3,564.621854
6.924021,8,564.621873
5.759305,7,564.621889
13.959012,15,564.621903
12.758477,14,566.411562
1.8011469,3,566.411839
2.9592168,4,566.411945
8.765956,10,566.411967
18.760147,20,568.834037
9.955312,11,568.834102
2.9557893,4,568.834116
3.7581232,5,568.834126
5.9553294,7,568.834134
1.6000543,3,568.834143
5.5624475,7,570.704394
14.758305,16,572.496386
2.0772972,3,572.496476
3.7581232,5,572.496499
3.9572015,5,572.496517
6.9590125,8,572.496532
4.5592594,6,572.496547
2.9592168,4,572.49656
5.0984273,7,574.150543
14.5551195,16,574.168405
2.7661605,4,576.73769
12.203352,14,576.737768
1.1962425,2,576.741
5.0807815,7,576.741039
3.9590473,5,578.320998
9.113899,10,578.321088
1.7649229,3,578.321112
1.9200563,3,578.321129
21.559437,23,580.303034
4.64563,7,580.303124
1.7649229,3,582.36975
4.760184,6,582.36987
5.7611423,7,582.369904
3.198608,5,582.36993
7.193949,8,585.152085
2.7591155,4,585.152181
7.993708,10,587.150985
23.271378,24,587.151094
15.561549,17,587.154691
6.022644,9,587.15482
3.3236454,5,587.154861
12.756467,14,587.154915
8.443135,11,587.154948
2.3989275,4,587.154999
4.75931,6,588.888973
3.9590473,5,588.889077
3.9590473,5,588.889098
11.429646,15,590.519254
6.7614255,9,590.519336
6.364159,8,590.519355
8.6726885,11,590.519369
1.884241,3,593.294224
10.718148,14,593.29431
5.794133,7,593.294334
25.562029,28,595.01286
19.24625,22,595.012935
11.681073,14,595.01295
5.898934,8,596.778969
1.7649229,3,598.612846
4.162012,6,601.398938
11.839722,14,601.399024
4.644514,7,601.399048
3.9590473,5,601.399063
5.7601786,7,601.399078
1.9583726,3,601.399092
4.32548,7,603.277089
7.415314,11,603.277176
4.594417,6,603.277204
5.47262,8,603.277222
17.87469,19,603.277238
4.802364,7,603.277254
5.554622,7,605.097182
6.129636,9,605.09728
4.2004366,6,606.952062
9.076528,12,606.952182
1.6000543,3,609.617664
9.164255,13,609.617736
15.353547,18,609.61775
6.076489,7,611.485147
0.7989179,2,611.485228
17.066978,18,611.485248
7.9014874,12,611.485268
6.9719286,10,611.485284
3.5606453,5,613.215775
7.1554055,9,613.215863
1.7671529,3,613.215885
5.51725,7,615.395231
24.785513,26,618.012288
6.3642697,9,619.606308
6.9208307,8,619.606395
7.1521134,9,619.606416
26.769474,30,619.606432
5.5535507,7,619.606449
3.794167,5,619.606463
1.9602091,3,621.301618
4.27535,5,623.316179
16.356487,18,623.316265
5.849495,7,623.316288
8.043305,11,626.181461
16.56673,20,626.181789
1.7671529,3,626.185421
2.2773986,3,626.185504
6.754212,8,627.898731
11.75646,13,627.898818
10.006822,12,627.89884
3.5602462,5,627.898854
10.924557,12,629.813737
3.0803835,5,629.813826
11.160102,14,629.813848
2.8127584,5,629.813865
10.415826,14,629.81388
9.154626,11,631.622508
7.802583,10,631.622584
1.5982071,3,631.622602
1.9602091,3,634.515005
9.162371,11,636.43184
10.353068,12,636.431909
4.1985793,6,636.431923
3.9590473,5,638.29098
20.326904,26,638.291069
10.241745,13,638.291089
1.9583726,3,638.291104
2.4011905,4,638.291118
0.91561085,2,638.291132
18.244905,22,638.291147
6.9590125,8,640.282705
3.8774357,5,640.282786
18.136185,24,642.825003
26.18661,30,644.508229
6.201577,9,644.508655
1.7649229,3,644.508806
27.519766,30,644.508936
2.7591155,4,644.509057
1.7649229,3,646.084363
22.030216,29,646.084442
7.5995345,10,646.084462
12.635139,17,646.084478
10.952147,12,647.895737
11.451641,14,647.895825
3.557625,5,647.895842
7.1560802,9,650.677593
7.764827,10,650.6777
8.959012,10,650.677728
2.6853719,4,652.287337
1.7171644,3,652.287424
10.406625,13,652.287441
6.389695,8,654.108554
4.1630435,6,656.013442
2.6495705,4,656.013521
5.9534817,7,656.013538
10.357737,13,656.013551
8.987567,10,658.750427
12.648175,19,658.750514
7.7364,12,660.496364
15.612375,19,660.496449
27.78865,30,660.49647
4.555557,6,660.496486
5.754246,7,662.287011
4.754529,6,662.287108
21.886297,30,664.202536
8.802731,11,666.892656
6.402022,9,668.703533
10.559436,12,668.70362
6.5952697,8,670.619697
3.2023268,5,670.647885
6.5716333,10,672.693702
11.708007,18,674.937277
21.723059,30,674.937343
9.951364,11,674.937356
11.364087,15,674.937365
18.303196,24,676.886937
7.161357,9,676.887033
5.6008263,8,676.887057
9.959012,11,678.721134
2.2773986,3,683.230962
2.7613456,4,683.231036
4.1976533,5,683.231056
10.136544,14,684.875712
12.864843,19,684.875831
11.85792,15,686.670319
15.341194,20,686.67046
8.396405,10,688.708827
6.2933197,9,688.708897
20.743134,30,688.708916
2.398546,4,691.651653
9.010371,12,691.651964
11.606758,14,691.652148
5.600854,8,693.695222
23.338905,30,693.695313
1.6022727,3,695.614234
22.039612,30,697.501273
22.592192,30,700.215101
1.6022727,3,700.215174
22.39799,30,700.215188
21.686441,30,702.192201
16.03064,23,703.800653
10.486145,14,705.350834
21.717121,30,708.197724
15.807831,23,708.197815
1.7671529,3,710.219248
18.907774,25,710.219318
15.139061,19,710.219338
4.003446,6,712.098521
22.320263,30,712.098595
22.315956,30,713.979425
11.219377,16,716.384329
8.804958,11,716.384419
10.613632,14,716.384442
15.421493,21,718.383919
10.5910845,13,718.384018
20.361296,27,718.384041
22.85691,28,718.384059
6.444038,9,718.384075
11.566749,15,720.369794
8.530849,12,722.391285
15.709046,22,724.503515
1.9602091,3,724.503596
14.410682,18,724.503619
12.98944,14,724.503638
16.476242,24,724.503655
6.0104895,8,726.385011
14.582339,20,726.385107
3.9572065,5,726.38513
23.281765,30,726.385149
22.416063,28,726.385166
1.9602091,3,726.385182
9.048813,10,728.317147
14.052198,18,728.317233
3.983368,5,728.317254
6.5590606,8,728.31727
7.222798,10,730.016995
1.9894304,3,730.017082
16.64032,23,730.017102
19.355284,21,732.680134
6.957172,8,732.680207
13.599961,16,732.680227
6.7641068,8,734.54356
10.121548,11,734.543626
1.597429,3,734.54364
3.764141,5,736.485442
5.275345,6,736.485521
7.9590125,9,736.485537
12.369102,15,736.485551
15.561285,17,736.485564
22.560074,30,736.485576
10.561306,13,736.485588
1.9894304,3,736.4856
20.304413,23,738.223356
1.9602091,3,738.223442
13.363584,15,738.223463
1.1985551,2,740.948829
3.794167,5,740.948918
1.9875622,3,740.948941
5.9532166,7,740.948958
10.557409,12,740.948973
4.5614896,6,740.948989
4.760184,6,740.949004
5.957164,7,740.94902
7.1175847,8,740.949035
7.8485894,9,742.622213
6.9590125,8,742.622412
2.5990593,4,742.622484
21.355652,28,742.622547
10.40002,12,742.647684
4.7252054,7,742.64797
5.647567,7,744.384866
1.6000372,3,746.111393
9.201648,11,746.111675
6.9553337,8,748.875487
3.7261982,6,748.875584
13.718769,15,752.982238
5.539976,8,752.982328
6.756187,8,752.982346
4.4555335,6,752.982362
2.5034058,4,754.679609
7.394345,9,757.24809
18.407364,21,757.248153
7.0840006,9,757.248167
7.776041,10,757.248176
6.001338,7,757.248185
5.765036,8,759.385389
3.765991,5,759.385478
7.0084414,9,759.385498
13.166188,16,759.385515
4.121559,5,759.385531
6.9656734,9,759.385547
7.9713125,11,759.385561
12.270063,13,761.119762
7.8010607,10,761.120008
15.754584,17,761.120136
8.358346,10,761.120249
12.756452,14,761.120357
1.9583726,3,763.016726
7.43314,9,765.517946
11.770426,14,765.518192
1.9973788,3,765.518266
